exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
bibox,86,ONG,ontology-gas,BTC,bitcoin,0.0000040400000000,0.4060773983397536,441742.6723344905792736,0.1631797729097255,,1733990275864
bibox,87,BSV,bitcoin-sv,BTC,bitcoin,0.0006805600000000,68.4059490628967136,424605.8157108866783126,0.1568494169188767,,1733988368196
bibox,88,QTUM,qtum,BTC,bitcoin,0.0000428600000000,4.3080389338717426,424389.4043522744577646,0.1567694745484310,,1733990249302
bibox,89,LTC,litecoin,BTC,bitcoin,0.0012118500000000,121.8081423707996096,420292.4297915702668993,0.1552560518697942,,1733990541662
bibox,90,UQC,uquid-coin,ETH,ethereum,0.0021000000000000,8.2108150819648763,376671.7420957211920399,0.1391425668972922,,1733988404671
bibox,91,XRP,xrp,USDC,usd-coin,2.4360700000000000,2.4342055503429947,369889.9965070357998989,0.1366373896201120,,1733988307518
bibox,92,KSM,kusama,ETH,ethereum,0.0101982400000000,39.8742203816654667,346935.0926586447334048,0.1281578465926077,,1733988355603
bibox,93,QTUM,qtum,ETH,ethereum,0.0010981700000000,4.2937479993149372,344370.2535114981058981,0.1272103948389215,,1733990250562
bibox,94,PHA,phala-network,BTC,bitcoin,0.0000017800000000,0.1789152893675152,343549.7463022671211857,0.1269072994205741,,1733988415913
bibox,95,ONT,ontology,BTC,bitcoin,0.0000029800000000,0.2995323383793232,301782.2878797918413718,0.1114783974664629,,1733990269577
bibox,96,FIS,stafi,USDT,tether,0.4331000000000000,0.4331336222864537,252120.1277025789651668,0.0931331921524793,,1733988418463
bibox,97,POND,marlin,USDT,tether,0.0206690000000000,0.0206706045694729,236412.9240069421053858,0.0873309500495022,,1733954123170
bibox,98,PHA,phala-network,ETH,ethereum,0.0000466600000000,0.1824364912973720,229798.9736576567920299,0.0848877563450566,,1733988417170
bibox,99,NEST,nest-protocol,USDT,tether,0.0012350000000000,0.0012350958751415,218008.4451792808701946,0.0805323343311060,,1733988360599
alterdice,1,BTC,bitcoin,USDT,tether,100563.1500000000000000,100574.1053251529256672,39690193.0024768581697906,100.0000000000000000,7,1733990718377
bibox,1,ETH,ethereum,USDT,tether,3910.5800000000000000,3911.0060176360478769,28799625.9768988465028564,10.6375864630017922,,1733990512723
bibox,2,LINK,chainlink,USDT,tether,29.2330000000000000,29.2361846359247446,16763673.0213597374098783,6.1919214279117800,,1733988337873
bibox,3,ATOM,cosmos,USDT,tether,9.1184000000000000,9.1193933562828376,9980415.4710456517363520,3.6864205318183454,,1733988316307
bibox,4,XLM,stellar,USDT,tether,0.4281160000000000,0.4281626388531303,9731958.5070537123499368,3.5946491164909657,,1733927882151
bibox,5,AAVE,aave,USDT,tether,354.6300000000000000,354.6686333061263696,9042432.4702028498529119,3.3399620298817307,,1733988442323
bibox,6,FIL,filecoin,USDT,tether,6.9768000000000000,6.9775600508986337,8397456.1229301448062980,3.1017300588759994,,1733988431090
bibox,7,COMP,compound,USDT,tether,110.7500000000000000,110.7620650781194356,8380148.3222805672511066,3.0953371555083667,,1733988364422
bibox,8,ICP,internet-computer,USDT,tether,13.5100000000000000,13.5114717761209352,8177104.6692527212555316,3.0203398476759674,,1733978415729
bibox,9,DAI,multi-collateral-dai,USDT,tether,1.0005000000000000,1.0006089942271647,8126732.6842311920791136,3.0017341773658960,,1733990566851
bibox,10,ALGO,algorand,USDT,tether,0.4673000000000000,0.4673509075485798,7729703.1796931638599277,2.8550852005259260,,1733988326381
bibox,11,SUSHI,sushiswap,USDT,tether,2.4437000000000000,2.4439662160848800,7146233.5455406533858397,2.6395716835513665,,1733988407181
bibox,12,NEO,neo,USDT,tether,19.3300000000000000,19.3321058055083403,6008582.9657746065953415,2.2193628788726964,,1733990254382
bibox,13,BNB,binance-coin,USDT,tether,702.8400000000000000,702.9165672190109625,5681835.9321834423730974,2.0986738176972695,,1733940803481
bibox,14,LPT,livepeer,USDT,tether,16.6575210000000000,16.6593356662947281,5668573.0357844276480425,2.0937749621597870,,1733927880471
bibox,15,MANA,decentraland,USDT,tether,0.6643360000000000,0.6644083726025964,5542538.8215608437171329,2.0472222794209457,,1733990561814
bibox,16,DOT,polkadot,USDT,tether,9.4994000000000000,9.5004348623303636,5417679.4793300161092206,2.0011035537902950,,1733988378292
bibox,17,LTC,litecoin,USDT,tether,121.8900000000000000,121.9032786670156027,4874923.7922280502532275,1.8006283617004978,,1733990544167
