id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
injective-protocol,42,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,2214085615.8062613284511056,56699709.4185711886223103,30.3276324127085267,11.2548689259106051,28.9176394179896412,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
mantra-dao,43,OM,MANTRA DAO,500205033.1781248500000000,888888888.0000000000000000,2096373114.1400543576103374,149491788.4140856779899946,4.1910276288514038,1.7286729469837826,4.2842777630630003,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d
the-sandbox,44,SAND,The Sandbox,2430232126.2233224000000000,,1957659475.2497753967786111,229602800.4709044325745513,0.8055442334605527,17.1048103700393564,0.7683564962924293,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
gala,45,GALA,Gala,36519992060.2224900000000000,,1938193248.7141990324620275,151838212.1182775221751970,0.0530721158295452,13.4050791006579368,0.0512707157767657,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
maker,46,MKR,Maker,888906.1473143700000000,1005577.0000000000000000,1818738401.8823123892724619,91912388.1030264018605723,2046.0409767411570025,14.8738990441412965,1897.7948573977699621,https://etherscan.io/token/Maker
lido-dao,47,LDO,Lido DAO,896366955.0711010000000000,,1815632408.8870640805533348,13663017.6216192598649630,2.0255458979331135,9.9412819555402618,1.9465684011466125,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
quant,48,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1745438609.6134104487530438,23663905.6426951075029711,144.5768648017881651,6.2521325510551338,143.5963897128007122,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
eos,49,EOS,EOS,1533108523.2353000000000000,,1732476464.4992274267725891,165909674.3039004717187941,1.1300416364806346,9.2223664040683609,1.0930354881165946,https://bloks.io/
kucoin-token,50,KCS,KuCoin Token,120225681.1460797300000000,200000000.0000000000000000,1628185695.2804027477528390,2080768.9256668477383232,13.5427446096319660,6.1258570846369387,13.1780583023813377,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
raydium,51,RAY,Raydium,290912824.2632580000000000,,1618655291.5676014911724342,153200811.4325051560178477,5.5640561589777809,9.1797166277254856,5.5001170934193441,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
flow,52,FLOW,Flow,1550566851.9342105000000000,,1600628570.3836487752470088,27538888.3540247226036654,1.0322860755000600,14.5879270210923855,0.9704687896307961,https://flowscan.org/
arweave,53,AR,Arweave,65652466.0000000000000000,66000000.0000000000000000,1576630157.0230692612435788,66121782.2234947040756687,24.0147895895192918,9.7192762376300252,23.4088451919969063,https://viewblock.io/arweave
iota,54,IOTA,IOTA,3554846536.0000000000000000,,1548282156.6318399650952840,66593430.4904944934565852,0.4355412085873065,15.1830839537452332,0.4040714876351086,https://thetangle.org/
tezos,55,XTZ,Tezos,1018064165.5280490000000000,,1543531942.2661513393953613,50363809.8398427518707527,1.5161440649131904,8.8684756497372243,1.4718066420456254,https://tzkt.io/
helium,56,HNT,Helium,174579202.3258144300000000,,1444589517.4230023108692064,10374647.4272271745255711,8.2746942257588480,3.2609596277210700,8.2970387090537334,https://explorer.helium.com/
